id,name,uuid,minor,major,macID,identifier,category,quantity,area,beacon,created_at,updated_at
32,beacon-2,D0D3FA86-CA76-45EC-9BD9-6AF4E45F8FDF,61633,16838,,e45f8fdf41c6f0c1,,,,,"2017-07-05 15:17:53","2017-07-05 15:17:53"
33,beacon-3,D0D3FA86-CA76-45EC-9BD9-6AF4CDD018DC,29796,58672,,cdd018dce5307464,,,,,"2017-07-05 15:19:14","2017-07-05 15:19:14"
34,beacon-4,D0D3FA86-CA76-45EC-9BD9-6AF4BAA6D0AF,12839,37902,,baa6d0af940e3227,,,,,"2017-07-05 15:19:58","2017-07-05 15:19:58"
35,beacon-5,D0D3FA86-CA76-45EC-9BD9-6AF4AEEF2BAB,37388,23562,,aeef2bab5c0a920c,,,,,"2017-07-05 15:20:34","2017-07-05 15:20:34"
36,beacon-6,D0D3FA86-CA76-45EC-9BD9-6AF4512ED5ED,35805,64095,,512ed5edfa5f8bdd,,,,,"2017-07-05 15:21:13","2017-07-05 15:21:13"
37,beacon-7,D0D3FA86-CA76-45EC-9BD9-6AF4F84DB158,42617,56526,,f84db158dccea679,,,,,"2017-07-05 15:21:50","2017-07-05 15:21:50"
38,beacon-8,D0D3FA86-CA76-45EC-9BD9-6AF4556AE09A,13290,18201,,556ae09a471933ea,,,,,"2017-07-05 15:22:23","2017-07-05 15:22:23"
39,beacon-9,D0D3FA86-CA76-45EC-9BD9-6AF4F535DAB2,31570,18289,,f535dab247717b52,,,,,"2017-07-05 15:23:00","2017-07-05 15:23:00"
40,beacon-10,D0D3FA86-CA76-45EC-9BD9-6AF486645716,26702,39123,,8664571698d3684e,,,,,"2017-07-05 15:24:21","2017-07-05 15:24:21"
41,beacon-11,D0D3FA86-CA76-45EC-9BD9-6AF4C5DA1B1A,43590,5747,,c5da1b1a1673aa46,,,,,"2017-07-05 15:24:56","2017-07-05 15:24:56"
42,beacon-12,D0D3FA86-CA76-45EC-9BD9-6AF4F7040701,8294,16606,,f704070140de2066,,,,,"2017-07-05 15:25:46","2017-07-05 15:25:46"
43,beacon-13,D0D3FA86-CA76-45EC-9BD9-6AF426E26082,32312,56126,,26e26082db3e7e38,,,,,"2017-07-05 15:26:22","2017-07-05 15:26:22"
44,beacon-14,D0D3FA86-CA76-45EC-9BD9-6AF4DAB0D115,15769,47755,,dab0d115ba8b3d99,,,,,"2017-07-05 15:26:54","2017-07-05 15:26:54"
45,beacon-15,D0D3FA86-CA76-45EC-9BD9-6AF46A7A3F42,48042,25208,,6a7a3f426278bbaa,,,,,"2017-07-05 15:28:27","2017-07-05 15:28:27"
46,beacon-16,D0D3FA86-CA76-45EC-9BD9-6AF46A709117,47913,811,,6a709117032bbb29,,,,,"2017-07-05 15:29:01","2017-07-05 15:29:01"
47,beacon-17,D0D3FA86-CA76-45EC-9BD9-6AF45B02ACFB,60428,4409,,5b02acfb1139ec0c,,,,,"2017-07-05 15:29:39","2017-07-05 15:29:39"
48,beacon-18,D0D3FA86-CA76-45EC-9BD9-6AF4BF739B8C,7734,35880,,bf739b8c8c281e36,,,,,"2017-07-05 15:30:13","2017-07-05 15:30:13"
49,beacon-19,D0D3FA86-CA76-45EC-9BD9-6AF4E950DD1A,8792,51688,,e950dd1ac9e82258,,,,,"2017-07-05 15:31:00","2017-07-05 15:31:00"
50,beacon-20,D0D3FA86-CA76-45EC-9BD9-6AF4585DA396,2334,23164,,585da3965a7c091e,,,,,"2017-07-05 15:31:58","2017-07-05 15:31:58"
51,beacon-21,D0D3FA86-CA76-45EC-9BD9-6AF46A80954A,55992,55613,,6a80954ad93ddab8,,,,,"2017-07-05 15:32:33","2017-07-05 15:32:33"
52,beacon-1,D0D3FA86-CA76-45EC-9BD9-6AF49EB875BA,50669,46478,,9eb875bab58ec5ed,,,,,"2017-07-05 15:33:19","2017-07-05 15:33:19"
4,"Beacon battery",,,,,,Beacons,2,,,"2017-07-03 18:22:36","2017-07-03 18:22:36"
